4280629627814776,09-04,0,733,8463,1682,#香蜜沉沉烬如霜大结局# 旭凤@邓伦 与润玉@罗云熙Leo 人间对饮谈心，恍如隔世。“同去常不同归，她的归处在你，从始至终，她的心里只有你。而我，不过是个局外人。”“说这些有什么用呢？她已经不在了，再也回不来了。”锦觅@杨紫，你可知这里有个人在等你回来#电视剧香蜜沉沉烬如霜#  ...全文
4280622652468030,09-04,0,1610,15537,5230,#香蜜沉沉烬如霜大结局# 润玉@罗云熙Leo 修炼禁术，几乎走火入魔，旭凤@邓伦 返回天界，帮助润玉杀死体内穷奇，润玉告知旭凤当年修复陨丹之事。这场伤心事能否得到一个完满的结局呢？#电视剧香蜜沉沉烬如霜# #都来品香蜜# 电视剧香蜜沉沉烬如霜的秒拍视频 
4280550385140591,09-04,0,544,10631,2911,#电视剧香蜜沉沉烬如霜# 谦谦公子，温润如玉。@罗云熙Leo 离#香蜜沉沉烬如霜大结局#还有4个小时！ 
4280497536015496,09-04,0,1271,12748,2333,#电视剧香蜜沉沉烬如霜# #香香探蜜记# 润玉@罗云熙Leo 反串扑哧君@廖劲锋Daniel 的背后居然是.......?抛媚眼就算了，还对邝露@杜雨宸-Bella 发出灵魂拷问，你们还能再逗一点吗 电视剧香蜜沉沉烬如霜的秒拍视频 
4280467337487054,09-04,0,705,6332,1285,#电视剧香蜜沉沉烬如霜# #香蜜沉沉烬如霜大结局# 收官日小福利[给你小心心]手绘版壁纸图欢迎道友们随意食用@杨紫@邓伦@陈钰琪Yukee@罗云熙Leo@王一菲Faye@邹廷威 
4280466363655429,09-04,0,1747,8200,1522,#电视剧香蜜沉沉烬如霜# #香蜜沉沉烬如霜大结局# 香蜜视效特辑来袭！青山碧水、花海环绕、琼楼玉宇、鬼魅魔界.......快来重温我们美轮美奂的特效画面吧~@杨紫@邓伦@陈钰琪Yukee@罗云熙Leo@王一菲Faye@完美世界影视@完美世界@幸福蓝海官方微博@厦门时代众乐影视@鲲池影业@完美世界刘宁工作室?...全文
4280452242343889,09-04,0,887,8913,3073,#电视剧香蜜沉沉烬如霜# #香蜜沉沉烬如霜大结局#今生无悔今生错，来世有缘来世迁；得成比目何辞死，只羡鸳鸯不羡仙。今晚19:30@江苏卫视@江苏卫视幸福剧场 和你在凡间重逢，有情相守！@杨紫@邓伦@陈钰琪Yukee@罗云熙Leo@王一菲Faye@完美世界影视@完美世界@幸福蓝海官方微博@厦门时代众乐影视 ...全文
4280273061521507,09-03,0,861,6833,2595,#都来品香蜜# 旭凤@邓伦 、润玉@罗云熙Leo 决斗， 但旭凤寒气反噬的情况越发严重，两个人的战况已经进入白热化阶段！#电视剧香蜜沉沉烬如霜# #锦觅牺牲# 电视剧香蜜沉沉烬如霜的秒拍视频 
4280271803448246,09-03,0,1076,7457,2320,#都来品香蜜#  润玉@罗云熙Leo 借从魔界接回水神锦觅@杨紫 之由，向魔界开战，并宣布血洗花界，换锦觅重回天界，旭凤@邓伦 亦坦然应战，誓不放手。终究是一场无法避免的兵戎之争啊 #电视剧香蜜沉沉烬如霜# #锦觅牺牲# 电视剧香蜜沉沉烬如霜的秒拍视频 
4280120052862588,09-03,0,878,6721,1970,#电视剧香蜜沉沉烬如霜# 香蜜专属Q版海报来啦！各位道友可以愉快地用起来哟[给你小心心]香蜜游戏也将于未来上线，敬请期待@杨紫@邓伦@陈钰琪Yukee@罗云熙Leo@王一菲Faye@邹廷威 @完美世界影视@完美世界@幸福蓝海官方微博@厦门时代众乐影视@鲲池影业@完美世界刘宁工作室 
4279912720572405,09-02,0,285,5968,3890,#都来品香蜜#  这边厢，润玉@罗云熙Leo 为找锦觅@杨紫 ，与花界众人发生争执，甚至不惜与自己的叔父月下仙人@夏志远远 刀剑相向；另一方面，锦觅正在努力为旭凤@邓伦 施法种蓬羽，这形势真的看得人捏一把汗~#电视剧香蜜沉沉烬如霜# 电视剧香蜜沉沉烬如霜的秒拍视频 
4279907695867336,09-02,0,2131,13148,5493,#都来品香蜜# 润玉@罗云熙Leo 软禁锦觅@杨紫 ，及时雨扑哧君@廖劲锋Daniel 上线，假扮润玉带走锦觅，考验演技的时刻还真的到了哦#电视剧香蜜沉沉烬如霜# 电视剧香蜜沉沉烬如霜的秒拍视频 
4279899177466888,09-02,0,1257,9975,3309,#都来品香蜜#  锦觅@杨紫 与润玉@罗云熙Leo 对峙，得知过往一切皆是他的阴谋。 “是你，是你让我亲手杀了我最爱的人！是你让我杀了凤凰，是你让我杀了那个最爱我的人！”小锦觅已经接近崩溃#电视剧香蜜沉沉烬如霜# #杨紫 原音台词# 电视剧香蜜沉沉烬如霜的秒拍视频 
4279896845447942,09-02,0,142,3208,711,#都来品香蜜#  旭凤@邓伦 深受寒气反噬之苦，穗禾@王一菲Faye 心知此举定为润玉@罗云熙Leo 所为，上天界找润玉理论。二人道出当年杀害水神、风神与在九转金丹之中动手脚之真相，却不想锦觅@杨紫 已在门外偷听一切真相……#电视剧香蜜沉沉烬如霜# 电视剧香蜜沉沉烬如霜的秒拍视频 
4279891677671805,09-02,0,234,5265,1128,#都来品香蜜# 润玉@罗云熙Leo 让锦觅@杨紫 挑选自己喜欢的颜色制作请帖，双眼已经不辨色彩的锦觅只能靠瞎蒙。然鹅，她选了一张绿色的……#电视剧香蜜沉沉烬如霜# 电视剧香蜜沉沉烬如霜的秒拍视频 
4279727462611790,09-02,0,290,7162,1433,#电视剧香蜜沉沉烬如霜# #香蜜拯救我的低血糖# 一生一代一双人，争教两处销魂。相思相望不相亲，天为谁春。真相撕开，直面谜局！今晚19:30@江苏卫视@江苏卫视幸福剧场 ，锦觅@杨紫 的命运再次面临抉择！@杨紫@邓伦@陈钰琪Yukee@罗云熙Leo@王一菲Faye@廖劲锋Daniel @姚清仁@完美世界影视@完美世界 ...全文
4279538512343400,09-01,0,316,6631,1191,#都来品香蜜# 月下仙人@夏志远远 对锦觅@杨紫、旭凤@邓伦、润玉@罗云熙Leo 、穗禾@王一菲Faye 四人的婚事感到非常不满，认为这完全是乱点鸳鸯谱，并向彦佑@廖劲锋Daniel 提议要“拨乱反正”......西皮粉粉头+神助攻，这次就看你们两个啦！#电视剧香蜜沉沉烬如霜# 电视剧香蜜沉沉烬如霜的秒拍视频 
4279534180048269,09-01,0,300,5342,1817,#都来品香蜜#  锦觅@杨紫 以为旭凤@邓伦 已经爱上了穗禾@王一菲Faye ，心如死灰，同意与润玉@罗云熙Leo 成婚，“三个人之中，有两个人心中欢喜，那也算是美满了吧......&quot;#电视剧香蜜沉沉烬如霜# 电视剧香蜜沉沉烬如霜的秒拍视频 
4279410372619052,09-01,0,2575,20842,21566,#电视剧香蜜沉沉烬如霜# #香香探蜜记# 润玉@罗云熙Leo 的个人特辑来袭！“这个角色是很丰富，很饱满的，我在饰演他的时候，也觉得非常过瘾，润玉他到后期是一个会黑化的角色，会和他前期的温润如玉形成一个极端的反差，这个也是值得我去挑战和突破的点。”快来一起探索小鱼仙倌的心路历程吧~  ...全文
4279395277355154,09-01,0,1055,11148,2249,#电视剧香蜜沉沉烬如霜# #今天被香蜜捅刀了吗# 情之一物，深挚难诉；万世情劫，寥寥成殇！@杨紫@邓伦@陈钰琪Yukee@罗云熙Leo@王一菲Faye@邹廷威@完美世界影视@完美世界@幸福蓝海官方微博@厦门时代众乐影视@鲲池影业@完美世界刘宁工作室 
